Commit,Date,Compiler,Standard library,C++ standard [1],Platform,Boost,Tests (passed/all),Comment
ff4942dc,2024-11-17,Clang 10.0.0,libstdc++ 9,C++17,x86-64,1.71.0,100 % (333/333),Ubuntu 64-bit 20.04
ff4942dc,2024-11-17,Clang 14.0.0,libstdc++ 11,C++17,x86-64,1.74.0,100 % (333/333),Ubuntu 64-bit 22.04
ff4942dc,2024-11-17,Clang 14.0.0,libc++ 14000,C++17,x86-64,1.74.0,100 % (333/333),Ubuntu 64-bit 22.04
ff4942dc,2024-11-17,Clang 18.1.3,libc++ 180100,C++17,x86-64,1.83.0,100 % (333/333),Ubuntu 64-bit 24.04
ff4942dc,2024-11-17,"clang-cl (Clang 17.0.3, MSVC2022.11)",MSVC,C++17,x86-64,1.70.0,100 % (340/340),"If building with Clang < 13, see [2]"
ff4942dc,2024-11-17,GCC 9.4.0,libstdc++ 9,C++17,x86-64,1.71.0,100 % (333/333),Ubuntu 64-bit 20.04
ff4942dc,2024-11-17,GCC 11.4.0,libstdc++ 11,C++17,x86-64,1.74.0,100 % (333/333),Ubuntu 64-bit 22.04
ff4942dc,2024-11-17,GCC 13.2.0,libstdc++ 13,C++17,x86-64,1.83.0,100 % (333/333),Ubuntu 64-bit 24.04
ff4942dc,2024-11-17,MinGW 7.3.0,libstdc++ 7,C++17,x86-64,1.70.0,100 % (340/340),
ff4942dc,2024-11-17,MinGW 11.2.0,libstdc++ 11,C++17,x86-64,1.70.0,100 % (340/340),
ff4942dc,2024-11-17,VC2017.9,MSVC,C++17,x86-64,1.70.0,99 % (339/340),Numerical precision related failure in dfgNumeric.transform
ff4942dc,2024-11-17,VC2019.11,MSVC,C++17,x86-64,1.70.0,100 % (340/340),std:c++17 with Conformance mode
ff4942dc,2024-11-17,VC2022.11,MSVC,C++20,x86,1.70.0,100 % (340/340),std:c++20 with Conformance mode
ff4942dc,2024-11-17,VC2022.11,MSVC,C++20,x86-64,1.70.0,100 % (340/340),std:c++20 with Conformance mode
