Date,,Compiler,Pointer size,Build type,File,Reader,time#1,time#2,time#3,time#4,time#5,time_median
2019-06-27,Baseline,Commit 41a6cc4740114ec5917ec77c3421553527a12760,,,,,,,,,,
2019-06-27,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",2.702,2.498,2.594,2.543,2.535,2.543
2019-06-27,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",2.718,2.498,2.492,2.497,2.511,2.498
2019-06-27,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.79468,1.76423,1.8441,1.77473,1.78353,1.78353
2019-06-27,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.81509,1.77051,1.79305,1.7786,1.78608,1.78608
2019-06-27,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.19412,1.18825,1.21211,1.18599,1.18676,1.18825
2019-06-27,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.19756,1.22293,1.19953,1.19802,1.18683,1.19802
2019-06-27,std::deque -> std::vector in CharBufferContainer,,,,,,,,,,,
2019-06-27,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.783,1.807,1.799,1.807,1.803,1.803
2019-06-27,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.797,1.794,1.778,1.785,1.792,1.792
2019-06-27,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.58954,1.4637,1.48644,1.4512,1.47664,1.47664
2019-06-27,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.47807,1.45119,1.45558,1.45855,1.47485,1.45855
2019-06-27,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.1983,1.18458,1.18172,1.18719,1.18874,1.18719
2019-06-27,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.19856,1.15257,1.1716,1.22223,1.17434,1.17434
