Date,Test machine,Compiler,Pointer size,Build type,File,Reader,Format definition,Processing type,Stream type,time#1,time#2,time#3,time#4,time#5,time_avg,time_median,time_sum
-----,-----,-----,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.913388,0.919774,0.915096,0.918321,0.905384,0.914392,0.915096,4.57196
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,compile time,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.837534,0.833754,0.862503,0.859606,0.858324,0.850344,0.858324,4.25172
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.628305,0.623741,0.631806,0.624411,0.626014,0.626855,0.626014,3.13428
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,compile time,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.594595,0.587611,0.588711,0.588833,0.583141,0.588578,0.588711,2.94289
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderStringViewCBuffer,dfg::io::BasicImStream (memory mapped),0.143407,0.144802,0.144735,0.14861,0.146022,0.145515,0.144802,0.727577
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,compile time,CharAppenderStringViewCBuffer,dfg::io::BasicImStream (memory mapped),0.121549,0.119129,0.11681,0.119392,0.119562,0.119288,0.119392,0.596442
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,compile time & no \r\n translation,CharAppenderStringViewCBuffer,dfg::io::BasicImStream (memory mapped),0.130763,0.129872,0.127114,0.127388,0.129541,0.128936,0.129541,0.644678
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2020-05-19,compile time,"Parse only, read type = const char*",N/A,0.304596,0.304396,0.301812,0.296427,0.303019,0.30205,0.303019,1.51025
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2020-05-19,compile time,"Parse only, read type = std::string",N/A,0.680409,0.677123,0.68269,0.672929,0.680932,0.678817,0.680409,3.39408
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,cppcsv_ph_2020-01-10,runtime,Parse only (cell counter),Contiguous memory,0.956384,0.949922,0.944052,0.946416,0.943705,0.948096,0.946416,4.74048
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,cppcsv_ph_2020-01-10,mixed,Parse only (cell counter) + no(comments quotes),Contiguous memory,0.893842,0.892279,0.878582,0.896468,0.886779,0.88959,0.892279,4.44795
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,cppcsv_ph_2020-01-10,compile time,Parse only (cell counter) + no(comments quotes) + comma only,Contiguous memory,0.842868,0.844635,0.853931,0.839534,0.847512,0.845696,0.844635,4.22848
2020-07-19,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,"TableCsv<char,uint32>",runtime,Read&Store,N/A,0.742905,0.738653,0.752543,0.736446,0.751866,0.744483,0.742905,3.72241
-----,-----,-----,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2020-07-19,,MSVC_2017.9,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.522895,0.521689,0.516507,0.513935,0.516841,0.518373,0.516841,2.59187
2020-07-19,,MSVC_2017.9,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,compile time,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.407564,0.408712,0.406352,0.416767,0.414144,0.410708,0.408712,2.05354
2020-07-19,,MSVC_2017.9,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.294701,0.291244,0.290943,0.293137,0.295757,0.293156,0.293137,1.46578
2020-07-19,,MSVC_2017.9,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,compile time,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.286561,0.282858,0.281589,0.282093,0.279903,0.282601,0.282093,1.413
2020-07-19,,MSVC_2017.9,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderStringViewCBuffer,dfg::io::BasicImStream (memory mapped),0.157639,0.144999,0.145876,0.144922,0.147921,0.148272,0.145876,0.741358
