Date,Test machine,Compiler,Pointer size,Build type,File,Reader,Format definition,Processing type,Stream type,time#1,time#2,time#3,time#4,time#5,time_avg,time_median,time_sum
2016-05-07,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,dfg::io::BasicImStream (memory mapped),0.211,0.215,0.216,0.214,0.214,0.214,0.214,1.07
2016-05-07,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),2.455,2.212,1.651,1.541,1.577,1.8872,1.651,9.436
2016-05-07,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),3.007,3.047,3.012,3.041,3.042,3.0298,3.041,15.149
2016-05-07,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2015-07-13,,"Parse only, read type = char const*",N/A,0.333,0.325,0.334,0.328,0.33,0.33,0.33,1.65
2016-05-07,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2015-07-13,,"Parse only, read type = std::string",N/A,0.735,0.738,0.705,0.713,0.703,0.7188,0.713,3.594
-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2017-08-20,1,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,dfg::io::BasicImStream (memory mapped),0.211782,0.209992,0.213425,0.209489,0.207762,0.21049,0.209992,1.05245
2017-08-20,1,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),1.45814,1.45899,1.47096,1.46256,1.45668,1.46147,1.45899,7.30734
2017-08-20,1,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),2.03154,2.19903,2.14091,2.08995,2.03503,2.09929,2.08995,10.4965
2017-08-20,1,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.20889,1.20682,1.21146,1.20474,1.21932,1.21025,1.20889,6.05123
2017-08-20,1,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = const char*",N/A,0.316238,0.315547,0.316632,0.308467,0.309787,0.313334,0.315547,1.56667
2017-08-20,1,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = std::string",N/A,0.664384,0.667784,0.673536,0.660138,0.6664,0.666449,0.6664,3.33224
-----,-----,-----,-----,-----,Removed separator from Barebones-reader,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2017-08-21,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,dfg::io::BasicImStream (memory mapped),0.213138,0.210226,0.208731,0.210496,0.211532,0.210825,0.210496,1.05412
2017-08-21,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),1.47868,1.49633,1.48522,1.47486,1.48703,1.48442,1.48522,7.42212
2017-08-21,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),2.11257,2.11349,2.10419,2.10492,2.09503,2.10604,2.10492,10.5302
2017-08-21,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.19828,1.19238,1.18769,1.31654,1.25154,1.22929,1.19828,6.14643
2017-08-21,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = const char*",N/A,0.367422,0.322452,0.321413,0.364831,0.32622,0.340468,0.32622,1.70234
2017-08-21,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = std::string",N/A,0.732141,0.677814,0.67242,0.673507,0.678372,0.686851,0.677814,3.43425
-----,-----,-----,-----,-----,Changed buffer type,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2017-08-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,dfg::io::BasicImStream (memory mapped),0.216168,0.209134,0.208662,0.209822,0.205859,0.209929,0.209134,1.04965
2017-08-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.763304,0.764844,0.767481,0.81005,0.810809,0.783298,0.767481,3.91649
2017-08-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.95259,1.87304,1.77798,1.78086,1.77732,1.83236,1.78086,9.16178
2017-08-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.997969,0.964936,0.957294,0.962306,0.956769,0.967855,0.962306,4.83927
2017-08-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = const char*",N/A,0.319578,0.322007,0.324488,0.323613,0.322719,0.322481,0.322719,1.6124
2017-08-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = std::string",N/A,0.683282,0.684382,0.687604,0.689305,0.692653,0.687445,0.687604,3.43723
-----,-----,-----,-----,-----,Removed null-terminator from buffer,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2017-08-24,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,dfg::io::BasicImStream (memory mapped),0.211282,0.208992,0.208421,0.206692,0.208216,0.208721,0.208421,1.0436
2017-08-24,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.762386,0.764204,0.763737,0.754966,0.759969,0.761052,0.762386,3.80526
2017-08-24,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.223554,0.221308,0.227565,0.229978,0.227806,0.226042,0.227565,1.13021
2017-08-24,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.68441,1.68843,1.74955,1.68533,1.6746,1.69647,1.68533,8.48233
2017-08-24,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.868074,0.85222,0.857108,0.863536,0.858006,0.859789,0.858006,4.29894
2017-08-24,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = const char*",N/A,0.337391,0.329642,0.331276,0.328539,0.327869,0.330943,0.329642,1.65472
2017-08-24,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = std::string",N/A,0.675176,0.677323,0.679918,0.669825,0.676774,0.675803,0.676774,3.37902
-----,-----,-----,-----,-----,Added case DelimitedTextReader_basic & CharAppenderStringViewCBuffer,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2017-09-05,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,dfg::io::BasicImStream (memory mapped),0.214943,0.209329,0.207801,0.210925,0.208318,0.210263,0.209329,1.05132
2017-09-05,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.821975,0.747499,0.708921,0.77675,0.722409,0.755511,0.747499,3.77755
2017-09-05,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.227778,0.194451,0.248006,0.201342,0.199816,0.214278,0.201342,1.07139
2017-09-05,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.72978,1.69592,1.70883,1.70685,1.71206,1.71069,1.70883,8.55344
2017-09-05,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.835455,0.833121,0.835427,0.835078,0.82839,0.833494,0.835078,4.16747
2017-09-05,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderStringViewCBuffer,dfg::io::BasicImStream (memory mapped),0.548588,0.538267,0.53614,0.544157,0.546601,0.542751,0.544157,2.71375
2017-09-05,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = const char*",N/A,0.323122,0.323389,0.333781,0.319021,0.31976,0.323815,0.323122,1.61907
2017-09-05,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = std::string",N/A,0.682809,0.674354,0.676453,0.680133,0.669199,0.67659,0.676453,3.38295
-----,-----,-----,-----,-----,String view buffer is initialized before reading cell,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
