Date,Test machine,Compiler,Pointer size,Build type,File,Reader,Format definition,Processing type,Stream type,time#1,time#2,time#3,time#4,time#5,time_avg,time_median,time_sum
2019-06-28,Baseline,Commit 5c705ab64912d1fb71cef5b69c5d3b2dbb29f1bd,,,,,,,,,,,,,,,
2019-07-28,,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.58,1.581,1.565,1.577,1.573,1.5752,1.577,7.876
2019-07-28,,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.833,0.822,0.832,0.817,0.823,0.8254,0.823,4.127
2019-07-28,,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.571,1.6,1.567,1.579,1.572,1.5778,1.572,7.889
2019-07-28,,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.818,0.84,0.838,0.83,0.823,0.8298,0.83,4.149
2019-07-28,,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.994,1.941,1.936,1.95,1.922,1.9486,1.941,9.743
2019-07-28,,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.867,0.808,0.812,0.8,0.79,0.8154,0.808,4.077
2019-07-28,,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.963,1.944,2.001,1.954,1.939,1.9602,1.954,9.801
2019-07-28,,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.805,0.795,0.797,0.797,0.802,0.7992,0.797,3.996
2019-07-28,,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.95,1.928,1.933,1.962,1.944,1.9434,1.944,9.717
2019-07-28,,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.843,0.805,0.804,0.792,0.791,0.807,0.804,4.035
2019-07-28,,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.967,1.935,1.95,1.939,1.93,1.9442,1.939,9.721
2019-07-28,,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.793,0.796,0.792,0.803,0.804,0.7976,0.796,3.988
2019-07-28,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.72228,1.72532,1.72152,1.72184,1.73832,1.72586,1.72228,8.62928
2019-07-28,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.826405,0.820087,0.865928,0.857516,0.875554,0.849098,0.857516,4.24549
2019-07-28,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.727,1.7074,1.73403,1.72525,1.71712,1.72216,1.72525,8.61079
2019-07-28,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.822731,0.82231,0.825667,0.827079,0.821952,0.823948,0.822731,4.11974
2019-07-28,,MSVC_2017.9,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.72047,1.72538,1.72804,1.7298,1.7104,1.72282,1.72538,8.6141
2019-07-28,,MSVC_2017.9,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.767816,0.767519,0.773484,0.769731,0.761455,0.768001,0.767816,3.84001
2019-07-28,,MSVC_2017.9,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.72412,1.71759,1.71275,1.71659,1.72531,1.71927,1.71759,8.59636
2019-07-28,,MSVC_2017.9,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.775369,0.808527,0.777921,0.781296,0.76739,0.782101,0.777921,3.9105
2019-07-28,,MSVC_2019.2,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.63071,1.66048,1.62011,1.56634,1.53743,1.60302,1.62011,8.01508
2019-07-28,,MSVC_2019.2,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.768535,0.775371,0.77633,0.783085,0.781157,0.776896,0.77633,3.88448
2019-07-28,,MSVC_2019.2,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.54041,1.54165,1.55246,1.55144,1.52781,1.54276,1.54165,7.71378
2019-07-28,,MSVC_2019.2,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.786998,0.770648,0.774999,0.785608,0.778346,0.77932,0.778346,3.8966
2019-07-28,,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.04138,1.02884,1.03313,1.04025,1.03502,1.03573,1.03502,5.17863
2019-07-28,,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.426275,0.43705,0.423922,0.423885,0.426251,0.427476,0.426251,2.13738
2019-07-28,,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.04402,1.0502,1.04179,1.04183,1.03084,1.04174,1.04183,5.20868
2019-07-28,,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.429873,0.421854,0.421752,0.425098,0.427495,0.425214,0.425098,2.12607
,,,,,,,,,,,,,,,,,
2019-08-04,CharBuffer from VectorSso to std::vector on MSVC,Commit af5847443fa3b353d0efd38a33f5bb977fa158e7,,,,,,,,,,,,,,,
2019-08-04,,MSVC_2019.2,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.2905,1.32746,1.28294,1.28836,1.28056,1.29396,1.28836,6.46981
2019-08-04,,MSVC_2019.2,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.516051,0.518438,0.520329,0.509757,0.529622,0.518839,0.518438,2.5942
2019-08-04,,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.04197,1.04573,1.04862,1.04162,1.04634,1.04486,1.04573,5.22428
2019-08-04,,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.439788,0.434499,0.429152,0.441231,0.431309,0.435196,0.434499,2.17598
,,,,,,,,,,,,,,,,,
2019-08-04,Added some forceinlines on MSVC,,,,,,,,,,,,,,,,
2019-08-04,,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.828,1.807,1.817,1.818,1.834,1.8208,1.818,9.104
2019-08-04,,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.474,0.475,0.471,0.468,0.475,0.4726,0.474,2.363
2019-08-04,,MSVC_2017.9,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.23563,1.24217,1.21933,1.38546,1.26481,1.26948,1.24217,6.3474
2019-08-04,,MSVC_2017.9,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.319311,0.316986,0.315374,0.31899,0.31968,0.318068,0.31899,1.59034
2019-08-04,,MSVC_2019.2,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.13049,1.13335,1.1213,1.12261,1.12295,1.12614,1.12295,5.63069
2019-08-04,,MSVC_2019.2,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.31706,0.319428,0.314635,0.31919,0.3169,0.317443,0.31706,1.58721
2019-08-04,,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.04372,1.05581,1.04619,1.05904,1.04905,1.05076,1.04905,5.25381
2019-08-04,,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.431621,0.427933,0.42863,0.426288,0.431246,0.429144,0.42863,2.14572
,,,,,,,,,,,,,,,,,
2020-07-09,Reference run,,,,,,,,,,,,,,,,
2020-07-09,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.60079,1.61181,1.6283,1.60944,1.59931,1.60993,1.60944,8.04965
,,,,,,,,,,,,,,,,,
2020-07-09,separatorChecker tweaks,,,,,,,,,,,,,,,,
2020-07-09,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.48579,1.45902,1.46171,1.4662,1.47105,1.46875,1.4662,7.34377
2020-07-09,eolChecker tweaks,,,,,,,,,,,,,,,,
2020-07-09 19:39:11,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,runtime,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.40731,1.43125,1.40217,1.39113,1.38998,1.40437,1.40217,7.02184
